City,Rank,State,Growth From 2000 to 2013,Population,Coordinates
Goodyear,462,Arizona,271,72864,33.4353394
Canton,463,Ohio,-10.3,72535,40.7989473
Warner Robins,464,Georgia,45.7,72531,32.6130007
Union City,465,California,7.4,72528,37.5933918
Perris,466,California,98.7,72326,33.7825194
Manteca,467,California,42.7,71948,37.7974273
Iowa City,468,Iowa,13.8,71591,41.6611277
Jonesboro,469,Arkansas,28.3,71551,35.8422967
Wilmington,470,Delaware,-1.6,71525,39.7390721
Lynwood,471,California,2,71371,33.930293
Loveland,472,Colorado,37.4,71334,40.3977612
Pawtucket,473,Rhode Island,-2.5,71172,41.878711
Boynton Beach,474,Florida,17.3,71097,26.5317866
Waukesha,475,Wisconsin,8,71016,43.0116784
Gulfport,476,Mississippi,-0.6,71012,30.3674198
Apple Valley,477,California,29.9,70924,34.5008311
Passaic,478,New Jersey,4.3,70868,40.8567662
Rapid City,479,South Dakota,17.9,70812,44.0805434
Layton,480,Utah,20.2,70790,41.0602216
Lafayette,481,Indiana,14.5,70373,40.4167022
Turlock,482,California,23.5,70365,37.4946568
Muncie,483,Indiana,-0.7,70316,40.1933767
Temple,484,Texas,27.1,70190,31.0982344
Missouri City,485,Texas,31.1,70185,29.6185669
Redlands,486,California,9.4,69999,34.0555693
Santa Fe,487,New Mexico,10.5,69976,35.6869752
Lauderhill,488,Florida,4.2,69813,26.1403635
Milpitas,489,California,11,69783,37.4323341
Palatine,490,Illinois,4.5,69350,42.1103041
Missoula,491,Montana,19.7,69122,46.8787176
Rock Hill,492,South Carolina,36,69103,34.9248667
Jacksonville,493,North Carolina,5,69079,34.7540524
Franklin,494,Tennessee,48.5,68886,35.9250637
Flagstaff,495,Arizona,29.3,68667,35.1982836
Flower Mound,496,Texas,32.5,68609,33.0145673
Weston,497,Florida,34.5,68388,26.1003654
Waterloo,498,Iowa,-0.5,68366,42.492786
Union City,499,New Jersey,1.7,68247,40.6975898
Mount Vernon,500,New York,-0.2,68224,40.9125992
Fort Myers,501,Florida,31.2,68190,26.640628
Dothan,502,Alabama,16.6,68001,31.2232313
Rancho Cordova,503,California,26.4,67911,38.5890723
Redondo Beach,504,California,6.7,67815,33.8491816
Jackson,505,Tennessee,12.9,67685,35.6145169
Pasco,506,Washington,98.5,67599,46.2395793
St. Charles,507,Missouri,11.3,67569,38.7881062
Eau Claire,508,Wisconsin,8.7,67545,44.811349
North Richland Hills,509,Texas,20.2,67317,32.8342952
Bismarck,510,North Dakota,20.1,67034,46.8083268
Yorba Linda,511,California,13.4,67032,33.8886259
Kenner,512,Louisiana,-4.8,66975,29.9940924
Walnut Creek,513,California,3.5,66900,37.9100783
Frederick,514,Maryland,25.9,66893,39.4142688
Oshkosh,515,Wisconsin,5.3,66778,44.0247062
Pittsburg,516,California,16.6,66695,38.0279762
Palo Alto,517,California,13.7,66642,37.4418834
Bossier City,518,Louisiana,17.4,66333,32.5159852
Portland,519,Maine,3.2,66318,43.661471
St. Cloud,520,Minnesota,10.9,66297,45.5579451
Davis,521,California,11.9,66205,38.5449065
South San Francisco,522,California,9.1,66174,37.654656
Camarillo,523,California,14.9,66086,34.2163937
North Little Rock,524,Arkansas,9,66075,34.769536
Schenectady,525,New York,6.7,65902,42.8142432
Gaithersburg,526,Maryland,24.2,65690,39.1434406
Harlingen,527,Texas,11.6,65665,26.1906306
Woodbury,528,Minnesota,39.8,65656,44.9238552
Eagan,529,Minnesota,2.6,65453,44.8041322
Yuba City,530,California,27.9,65416,39.1404477
Maple Grove,531,Minnesota,27.3,65415,45.0724642
Youngstown,532,Ohio,-20.2,65184,41.0997803
Skokie,533,Illinois,2.8,65176,42.0324025
Kissimmee,534,Florida,32.6,65173,28.2919557
Johnson City,535,Tennessee,16.2,65123,36.3134397
Victoria,536,Texas,7.5,65098,28.8052674
